product,category,price,trademark,country,description,CAS,INCI,manufacturer,packing
Лакмоид,Реактивы и хим. сырье,480,,,,,,,упаков
Тимолфталеин,Реактивы и хим. сырье,16198,,,,,,,упаков
Магний порошок-Стружка МГС-99,Реактивы и хим. сырье,,,,,,,,
Барий хлористый,Реактивы и хим. сырье,,,,,,,,
Бумага индикаторная лакмусовая СИНЯЯ Китай новая туба 1 шт,Реактивы и хим. сырье,,,,,,,,
Родамин С (родамин В) имп,Реактивы и хим. сырье,,,,,,,,
Родамин С (родамин В) имп,Реактивы и хим. сырье,,,,,,,,
Сульфосалициловая кислота,Реактивы и хим. сырье,,,,,,,,
Нигрозин спирторастворимый,Реактивы и хим. сырье,,,,,,,,
Агар - агар IT - 900,Реактивы и хим. сырье,1730,,,,,,,упаков
Пальмоядровое масло РДО (Рафинированное дезодорированное отбеленное),Реактивы и хим. сырье,,,,,,,,
Железо порошок ПЖР 3.200.28,Реактивы и хим. сырье,349,,,,,,,упаков
Азотная кислота хч,Реактивы и хим. сырье,938,,,,,,,упаков
Уранин А (индикатор Флуоресцеин Натрия),Реактивы и хим. сырье,,,,,,,,
Фосфор красный,Реактивы и хим. сырье,600,,,,,,,упаков
Железо порошок ПЖР 3.200.28,Реактивы и хим. сырье,426,,,,,,,упаков
Марганец двухлористый 4-водный,Реактивы и хим. сырье,865,,,,,,,упаков
Калий марганцевокислый (перманганат),Реактивы и хим. сырье,155,,,,,,,упаков
Бутилацетат,Реактивы и хим. сырье,,,,,,,,
Кальций карбид 25/80 марка А,Реактивы и хим. сырье,,,,,,,,
Аскорбиновая кислота BP2001/USP32,Реактивы и хим. сырье,790,,,,,,,упаков
Олеиновая кислота,Реактивы и хим. сырье,,,,,,,,
Толуолсульфокислота-пара,Реактивы и хим. сырье,,,,,,,,
Бромбензол (1,Реактивы и хим. сырье,,,,,,,,
Масло вакуумное для насосов 0,Реактивы и хим. сырье,598,,,,,,,упаков
Серная кислота,Реактивы и хим. сырье,,,,,,,,
Лимонная кислота пищ 1-водная,Реактивы и хим. сырье,,,,,,,,
Бром,Реактивы и хим. сырье,,,,,,,,
Бром,Реактивы и хим. сырье,,,,,,,,
Пропионилхлорид,Реактивы и хим. сырье,32409,,,,,,,упаков
Дифениламин,Реактивы и хим. сырье,,,,,,,,
Шеллак натуральный Lemon One Mashine Made,Реактивы и хим. сырье,,,,,,,,
Натрий вольфрамовокислый 2 водный,Реактивы и хим. сырье,6642,,,,,,,упаков
Гидразин солянокислый,Реактивы и хим. сырье,,,,,,,,
Глицерин дистиллированный 99,Реактивы и хим. сырье,1044,,,,,,,упаков
Олово сернокислое,Реактивы и хим. сырье,,,,,,,,
Касторовое масло,Реактивы и хим. сырье,419,,,,,,,упаков
4-Метоксибензальдегид (Анисовый альдегид),Реактивы и хим. сырье,,,,,,,,
Трилон EDTA-4Na тетранатриевая соль,Реактивы и хим. сырье,,,,,,,,
Бутиловый спирт-2,Реактивы и хим. сырье,,,,,,,,
Аммоний железо III цитрат зеленый (Железо лимонноамиачное зеленое),Реактивы и хим. сырье,3470,,,,,,,упаков
Марганец IV окись 79-80 % (двуокись),Реактивы и хим. сырье,,,,,,,,
Литий алюминий гидрид (алюмогидрид лития),Реактивы и хим. сырье,32100,,,,,,,упаков
Литий алюминий гидрид (алюмогидрид лития),Реактивы и хим. сырье,,,,,,,,
Формамид,Реактивы и хим. сырье,,,,,,,,
Соляная кислота,Реактивы и хим. сырье,,,,,,,,
Паста ГОИ №4,Реактивы и хим. сырье,,,,,,,,
Уротропин техн марка С от 5 кг,Реактивы и хим. сырье,,,,,,,,
Ацетонитрил,Реактивы и хим. сырье,,,,,,,,
Натрий сернистокислый пиро,Реактивы и хим. сырье,,,,,,,,
Муравьиная кислота,Реактивы и хим. сырье,262,,,,,,,упаков
Вазелин мед. от 10 кг (фас 1,Реактивы и хим. сырье,,,,,,,,
Медь порошок (порошок медный электролитический ПМС-1 ГОСТ 4960-2017,Реактивы и хим. сырье,,,,,,,,
Медь порошок (порошок медный электролитический ПМС-1 ГОСТ 4960-2017,Реактивы и хим. сырье,1465,,,,,,,упаков
Натрий хлорнокислый (перхлорат) 1-водный,Реактивы и хим. сырье,,,,,,,,
Натрий тетраборнокислый 10-водный (бура),Реактивы и хим. сырье,,,,,,,,
Аммоний уксуснокислый,Реактивы и хим. сырье,,,,,,,,
Никель уксуснокислый,Реактивы и хим. сырье,,,,,,,,
Калий железистосинеродистый,Реактивы и хим. сырье,,,,,,,,
Гептан,Реактивы и хим. сырье,,,,,,,,
Никель углекислый основной,Реактивы и хим. сырье,,,,,,,,
Канифоль сосновая,Реактивы и хим. сырье,,,,,,,,
Стронций сернокислый,Реактивы и хим. сырье,,,,,,,,
Хромокалиевые квасцы,Реактивы и хим. сырье,,,,,,,,
Калий перхлорат,Реактивы и хим. сырье,,,,,,,,
Натрий двухромовокислый,Реактивы и хим. сырье,,,,,,,,
Калий бромистый,Реактивы и хим. сырье,,,,,,,,
Висмут металлический в гранулах,Реактивы и хим. сырье,550,,,,,,,упаков
Аммоний хлористый,Реактивы и хим. сырье,,,,,,,,
Дибутилфталат,Реактивы и хим. сырье,,,,,,,,
Литий гидроокись 1-водная,Реактивы и хим. сырье,2685,,,,,,,упаков
Декстрин кукурузный в/с,Реактивы и хим. сырье,1055,,,,,,,упаков
Цинк сернокислый 7-водный,Реактивы и хим. сырье,,,,,,,,
Фосфор 5 окись (фосфорный ангидрид),Реактивы и хим. сырье,695,,,,,,,упаков
Сера порошок гранулированная,Реактивы и хим. сырье,,,,,,,,
Свинец углекислый,Реактивы и хим. сырье,679,,,,,,,упаков
ПАМ-4 порошок алюминиево-магниевый,Реактивы и хим. сырье,,,,,,,,
Идитол (СФ-0112) смола фенол-формальдегидная,Реактивы и хим. сырье,,,,,,,,
Диоксан (1,Реактивы и хим. сырье,9510,,,,,,,упаков
Глицерин дистиллированный 99,Реактивы и хим. сырье,,,,,,,,
Бензол,Реактивы и хим. сырье,,,,,,,,
Бензойная кислота,Реактивы и хим. сырье,,,,,,,,
Аммоний сернокислый,Реактивы и хим. сырье,,,,,,,,
Аммоний муравьинокислый (формиат),Реактивы и хим. сырье,,,,,,,,
Алюминий порошок ПА-1 (гранулы различимы),Реактивы и хим. сырье,,,,,,,,
Алюминий гранулированный,Реактивы и хим. сырье,,,,,,,,
Имидазол (имп.),Реактивы и хим. сырье,,,,,,,,
Имидазол (имп.),Реактивы и хим. сырье,,,,,,,,
Имидазол (имп) 100 гр.,Реактивы и хим. сырье,,,,,,,,
Изопропанол (Пропанол-2) для ВЭЖХ и спектроскопии 2,Реактивы и хим. сырье,,,,,,,,
Полиэтилен гранулы,Реактивы и хим. сырье,,,,,,,,
Анилин сернокислый,Реактивы и хим. сырье,,,,,,,,
Диоксид кремния аморфный КОВЕЛОС R902,Реактивы и хим. сырье,,,,,,,,
Бутанол-трет,Реактивы и хим. сырье,,,,,,,,
Железо азотнокислое (III) 9-водное,Реактивы и хим. сырье,,,,,,,,
Цинк пыль,Реактивы и хим. сырье,580,,,,,,,упаков
Бутиламин,Реактивы и хим. сырье,,,,,,,,
Литий азотнокислый безводный,Реактивы и хим. сырье,,,,,,,,
Литий азотнокислый (нитрат) безводный,Реактивы и хим. сырье,,,,,,,,
Натрий сернистокислый пиро,Реактивы и хим. сырье,,,,,,,,
Буферный раствор pH 7.0 TRIS Hydrochloride,Реактивы и хим. сырье,,,,,,,,
Пантенол-Д 75w,Реактивы и хим. сырье,650,,,,,,,упаков
Глицерин,Реактивы и хим. сырье,570,,,,,,,упаков
Сольвент каменноугльный,Реактивы и хим. сырье,,,,,,,,
Диэтиламин солянокислый,Реактивы и хим. сырье,425,,,,,,,упаков
Калий фосфорнокислый 3-замещенный 7-водный,Реактивы и хим. сырье,,,,,,,,
Аминогуанидин сернокислый 1-в,Реактивы и хим. сырье,,,,,,,,
Хромовый Ангидрид тех,Реактивы и хим. сырье,,,,,,,,
Хромовый ангидрид (хром VI окись),Реактивы и хим. сырье,965,,,,,,,упаков
Фенилэтиловый спирт,Реактивы и хим. сырье,690,,,,,,,упаков
Ксилол-орто,Реактивы и хим. сырье,3250,,,,,,,упаков
Цинк хлористый,Реактивы и хим. сырье,2980,,,,,,,упаков
Калий фтористый кислый,Реактивы и хим. сырье,355,,,,,,,упаков
Акриламид,Реактивы и хим. сырье,3860,,,,,,,упаков
Тетраметиламмония гидроксид 2,Реактивы и хим. сырье,,,,,,,,
Силикагель КСМГ,Реактивы и хим. сырье,,,,,,,,
Акриламид,Реактивы и хим. сырье,465,,,,,,,упаков
Малеиновый ангидрид,Реактивы и хим. сырье,,,,,,,,
Дибутилбутанфосфонат,Реактивы и хим. сырье,160,,,,,,,упаков
Йодноватый ангидрид (пятиокись йода),Реактивы и хим. сырье,,,,,,,,
Аммоний кремнефтористый,Реактивы и хим. сырье,,,,,,,,
Кобальт стеариновокислый 9,Реактивы и хим. сырье,,,,,,,,
Натрий 2-меркаптоэтансульфонат,Реактивы и хим. сырье,3860,,,,,,,упаков
Калий лимоннокислый 1-водный,Реактивы и хим. сырье,,,,,,,,
Фурфурол ч,Реактивы и хим. сырье,3173,,,,,,,упаков
Кизельгур (диатомит) Dicalite Speedplus,Реактивы и хим. сырье,190,,,,,,,упаков
Магний окись Honeywell,Реактивы и хим. сырье,850,,,,,,,упаков
Дитиотреитол,Реактивы и хим. сырье,1160,,,,,,,упаков
Сефароза CNBr-активированная 4B,Реактивы и хим. сырье,,,,,,,,
Шеллак хлопья,Реактивы и хим. сырье,,,,,,,,
Гидроксиэтилцеллюлоза Китай,Реактивы и хим. сырье,32000,,,,,,,упаков
Гидроксиэтилцеллюлоза Китай,Реактивы и хим. сырье,360,,,,,,,упаков
Поливинилпирролидон К-13-19,Реактивы и хим. сырье,460,,,,,,,упаков
Калий йоднокислый,Реактивы и хим. сырье,660,,,,,,,упаков
Магний азотнокислый 6 водный,Реактивы и хим. сырье,,,,,,,,
Кальций хлористый 2-водный,Реактивы и хим. сырье,,,,,,,,
Никель азотнокислый ч/чда,Реактивы и хим. сырье,160,,,,,,,упаков
Цинк лимоннокислый 3-водный,Реактивы и хим. сырье,530,,,,,,,упаков
Кальций муравьинокислый (формиат),Реактивы и хим. сырье,,,,,,,,
Калий сернокислый кислый,Реактивы и хим. сырье,,,,,,,,
Перекись водорода,Реактивы и хим. сырье,7650,,,,,,,упаков
Гидроксиэтилцеллюлоза Китай,Реактивы и хим. сырье,1320,,,,,,,упаков
Аэросил (Орисил) А175 диоксид кремний,Реактивы и хим. сырье,490,,,,,,,упаков
Кальций лимоннокислый 4-водный,Реактивы и хим. сырье,,,,,,,,
Перекись водорода,Реактивы и хим. сырье,,,,,,,,
Железо фумарат,Реактивы и хим. сырье,980,,,,,,,упаков
Трис(гидроксиметил)аминометан,Реактивы и хим. сырье,,,,,,,,
Магний оксид,Реактивы и хим. сырье,,,,,,,,
Марганец сернокислый II 1-водный,Реактивы и хим. сырье,,,,,,,,
Натрий сернокислый кислый (гидросульАт) 1 водный,Реактивы и хим. сырье,,,,,,,,
Железо II щавелевокислое 2-водное,Реактивы и хим. сырье,Новинка,,,,,,,упаков
Анилин,Реактивы и хим. сырье,,,,,,,,
Натрий триполифосфат,Реактивы и хим. сырье,,,,,,,,
Кремниевая кислота,Реактивы и хим. сырье,,,,,,,,
Аммоний лимоннокислый 2-замещенный,Реактивы и хим. сырье,,,,,,,,
Хром хлористый (III) 6-водный ч,Реактивы и хим. сырье,,,,,,,,
Притирочная паста 100 г ABRO GP-201-R (два в одном),Реактивы и хим. сырье,,,,,,,,
Сольвент каменноугольный,Реактивы и хим. сырье,2140,,,,,,,упаков
Триэтаноламин,Реактивы и хим. сырье,,,,,,,,
Фенилантраниловая кислота,Реактивы и хим. сырье,80,,,,,,,упаков
Сероуглерод,Реактивы и хим. сырье,,,,,,,,
Железо пирофосфат РАСПРОДАЖА,Реактивы и хим. сырье,,,,,,,,
Этиллактат-S,Реактивы и хим. сырье,2640,,,,,,,упаков
Кальций фосфорнокислый 2-замещенный,Реактивы и хим. сырье,490,,,,,,,упаков
Йодистоводородная кислота,Реактивы и хим. сырье,27825,,,,,,,упаков
Желатин технический Т,Реактивы и хим. сырье,,,,,,,,
Метиламин раствор 38 % от 988 л (52кан по 19 л),Реактивы и хим. сырье,,,,,,,,
Мурексид,Реактивы и хим. сырье,,,,,,,,
Сернистая кислота,Реактивы и хим. сырье,,,,,,,,
Хлористый водород (хлороводород),Реактивы и хим. сырье,,,,,,,,
Метилмагниййодид,Реактивы и хим. сырье,,,,,,,,
Фенилмагнийбромид,Реактивы и хим. сырье,,,,,,,,
Кремний четырёххлористый,Реактивы и хим. сырье,,,,,,,,
Кремний четырёхбромистый,Реактивы и хим. сырье,,,,,,,,
Фосфор трёххлористый,Реактивы и хим. сырье,26880,,,,,,,упаков
Бумага индикаторная ун (для рН) туба Россия ЭНЕРГОХИМИЯ,Реактивы и хим. сырье,,,,,,,,
Литий металлический,Реактивы и хим. сырье,36500,,,,,,,упаков
Метил йодистый (йодметан),Реактивы и хим. сырье,52348,,,,,,,упаков
Бромистый водород,Реактивы и хим. сырье,,,,,,,,
Ацетилацетон,Реактивы и хим. сырье,,,,,,,,
Фосфор трёхбромистый,Реактивы и хим. сырье,,,,,,,,
Гидроксиэтилцеллюлоза DOW QP 100 MH,Реактивы и хим. сырье,,,,,,,,
Воск эмульсионный (Potassium C16-18 Alkyl Phosphate,Реактивы и хим. сырье,,,,,,,,
Хлорная кислота 60 % 1,Реактивы и хим. сырье,,,,,,,,
Калий йодноватокислый,Реактивы и хим. сырье,1025,,,,,,,упаков
Бромфеноловый синий имп,Реактивы и хим. сырье,709,,,,,,,упаков
Натрий боргидрид,Реактивы и хим. сырье,1495,,,,,,,упаков
Оксиэтилидендифосфоновая кислота (ОЭДФК),Реактивы и хим. сырье,,,,,,,,
Бутилцеллозольв (Бутилгликоль),Реактивы и хим. сырье,,,,,,,,
Натрий сернистокислый кислый имп (бисульфит,Реактивы и хим. сырье,,,,,,,,
Сера порошок молотая,Реактивы и хим. сырье,,,,,,,,
Полиэтиленгликоль ПЭГ- 1500,Реактивы и хим. сырье,,,,,,,,
Кальций гидроокись,Реактивы и хим. сырье,,,,,,,,
Аммиак водный чда NH4OH в литре 0,Реактивы и хим. сырье,,,,,,,,
Метилен хлористый ч,Реактивы и хим. сырье,,,,,,,,
Гидразин сернокислый,Реактивы и хим. сырье,,,,,,,,
Сульфонол (упаковка 250 г) (сульфанол порошкоообразный) - ПАВ,Реактивы и хим. сырье,142,,,,,,,упаков
Этилацетат,Реактивы и хим. сырье,2961,,,,,,,упаков
Натрий уксуснокислый 3в ч (CH3COONa·3H2O) цена за 1 кг от 25 кг (мешок),Реактивы и хим. сырье,,,,,,,,
Гидрохинон,Реактивы и хим. сырье,425,,,,,,,упаков
Калий перхлорат,Реактивы и хим. сырье,,,,,,,,
Натрий фосфорнокислый 3-зам. 12 водный (тринатрийфосфат),Реактивы и хим. сырье,,,,,,,,
Мочевина,Реактивы и хим. сырье,,,,,,,,
Железо сернокислое 2 (купорос жел.),Реактивы и хим. сырье,,,,,,,,
Метансульфоновая кислота 70%,Реактивы и хим. сырье,,,,,,,,
Тетрабромметан очищенный,Реактивы и хим. сырье,2300,,,,,,,упаков
Перекись водорода,Реактивы и хим. сырье,,,,,,,,
Поливиниловый спирт имп Китай,Реактивы и хим. сырье,,,,,,,,
Родамин С (родамин В) имп,Реактивы и хим. сырье,,,,,,,,
Диметилформамид,Реактивы и хим. сырье,,,,,,,,
Нигрозин спирторастворимый,Реактивы и хим. сырье,,,,,,,,
Глутаровый альдегид,Реактивы и хим. сырье,690,,,,,,,упаков
Уранин А (индикатор Флуоресцеин Натрия),Реактивы и хим. сырье,535,,,,,,,упаков
СТ Соляная кислота 0,Реактивы и хим. сырье,,,,,,,,
Азотная кислота хч,Реактивы и хим. сырье,,,,,,,,
Свинец грануллированный,Реактивы и хим. сырье,,,,,,,,
Твин-20 (полисорбат-20) ,Реактивы и хим. сырье,658,,,,,,,упаков
Аммоний уксуснокислый,Реактивы и хим. сырье,,,,,,,,
Натрий полиакрилат,Реактивы и хим. сырье,,,,,,,,
Калий хромовокислый,Реактивы и хим. сырье,,,,,,,,
Натрий фосфорнокислый 1-зам. 2 водный,Реактивы и хим. сырье,,,,,,,,
Нитрометан,Реактивы и хим. сырье,,,,,,,,
Петролейный эфир 50-70 (в литре 0,Реактивы и хим. сырье,,,,,,,,
Натрий молибденовокислый 2 водн,Реактивы и хим. сырье,615,,,,,,,упаков
Гистомикс,Реактивы и хим. сырье,1100,,,,,,,упаков
Парафин Гистомикс,Реактивы и хим. сырье,250,,,,,,,упаков
Натрий глюконат,Реактивы и хим. сырье,,,,,,,,
Гидроксиэтилцеллюлоза NATROSOL 250 HHR,Реактивы и хим. сырье,890,,,,,,,упаков
Галлий металический,Реактивы и хим. сырье,4950,,,,,,,упаков
Кальций стеариновокислый,Реактивы и хим. сырье,,,,,,,,
Хромовый темно-синий,Реактивы и хим. сырье,,,,,,,,
Нигрозин спирторастворимый,Реактивы и хим. сырье,,,,,,,,
Нигрозин спирторастворимый,Реактивы и хим. сырье,,,,,,,,
Натрий полиакрилат,Реактивы и хим. сырье,,,,,,,,
Натрий полиакрилат,Реактивы и хим. сырье,,,,,,,,
Натрий полиакрилат,Реактивы и хим. сырье,,,,,,,,
Натрий полиакрилат,Реактивы и хим. сырье,,,,,,,,
Натрий полиакрилат,Реактивы и хим. сырье,,,,,,,,
Хром окись III тех,Реактивы и хим. сырье,,,,,,,,
Этилендиаминтетрауксусная кислота,Реактивы и хим. сырье,,,,,,,,
Анилин,Реактивы и хим. сырье,525,,,,,,,упаков
Титан порошок ПТМ-1,Реактивы и хим. сырье,1925,,,,,,,упаков
Алюминий хлористый,Реактивы и хим. сырье,10480,,,,,,,упаков
Пропионилхлорид,Реактивы и хим. сырье,11546,,,,,,,упаков
Алюминий порошок ПА-4,Реактивы и хим. сырье,,,,,,,,
Натрий гипохлорит,Реактивы и хим. сырье,,,,,,,,
Медь порошок (порошок медный электролитический ПМС-1 ГОСТ 4960-2017,Реактивы и хим. сырье,,,,,,,,
Изооктан,Реактивы и хим. сырье,1512,,,,,,,упаков
Натрий молибденовокислый 2 водн,Реактивы и хим. сырье,,,,,,,,
Кобальт сернокислый 7-водн,Реактивы и хим. сырье,1238,,,,,,,упаков
Моноэтаноламин,Реактивы и хим. сырье,,,,,,,,
Кальций окись,Реактивы и хим. сырье,,,,,,,,
Шеллак decolorised,Реактивы и хим. сырье,1990,,,,,,,упаков
Гексан,Реактивы и хим. сырье,,,,,,,,
Гидроксиэтилцеллюлоза DOW QP 100 MH,Реактивы и хим. сырье,,,,,,,,
Альбумин сывороточный бычий,Реактивы и хим. сырье,640,,,,,,,упаков
Йод кристаллический,Реактивы и хим. сырье,,,,,,,,
Перхлорэтилен (тетрахлорэтилен),Реактивы и хим. сырье,704,,,,,,,упаков
Ксантановая камедь Rhodopol G,Реактивы и хим. сырье,2700,,,,,,,упаков
Калий хлористый для хранения электродов рН-метров,Реактивы и хим. сырье,,,,,,,,
Таннин (танин),Реактивы и хим. сырье,,,,,,,,
Медь порошок (порошок медный электролитический ПМС-1 ГОСТ 4960-2017,Реактивы и хим. сырье,,,,,,,,
Калий азотнокислый тех (Калиевая селитра,Реактивы и хим. сырье,,,,,,,,
Натрий диэтилдитиокарбамат N,Реактивы и хим. сырье,330,,,,,,,упаков
Натрий диэтилдитиокарбамат N,Реактивы и хим. сырье,2840,,,,,,,упаков
Изопропанол солянокислый,Реактивы и хим. сырье,,,,,,,,
Нигрозин спирторастворимый,Реактивы и хим. сырье,,,,,,,,
Метиламин раствор 38 %,Реактивы и хим. сырье,1420,,,,,,,упаков
Ксантановая камедь Rhodopol G,Реактивы и хим. сырье,215,,,,,,,упаков
Натрий метасиликат,Реактивы и хим. сырье,,,,,,,,
Титан порошок ПТМ-1,Реактивы и хим. сырье,475,,,,,,,упаков
Магний порошок-стружка несорт.,Реактивы и хим. сырье,,,,,,,,
Олеум х.ч. (на заказ 2-4 дня,Реактивы и хим. сырье,19200,,,,,,,упаков
Уксусная кислота лед. 99,Реактивы и хим. сырье,,,,,,,,
Магний углекислый основной,Реактивы и хим. сырье,,,,,,,,
Медь углекислая основная,Реактивы и хим. сырье,,,,,,,,
Сургуч,Реактивы и хим. сырье,,,,,,,,
Натрий Карбоксиметилцеллюлоза,Реактивы и хим. сырье,,,,,,,,
Свинец углекислый основной,Реактивы и хим. сырье,,,,,,,,
Углерод четырехлористый,Реактивы и хим. сырье,904,,,,,,,упаков
Катионит КУ-2-8,Реактивы и хим. сырье,,,,,,,,
Анионит 201х7 (Аналог АВ-17-8),Реактивы и хим. сырье,,,,,,,,
Маннит-D,Реактивы и хим. сырье,1330,,,,,,,упаков
Висмут сернокислый (III) безводный,Реактивы и хим. сырье,3150,,,,,,,упаков
Диоксан солянокислый,Реактивы и хим. сырье,,,,,,,,
Углерод четыерххлористый,Реактивы и хим. сырье,380,,,,,,,упаков
Гексахлорциклотрифосфазен (Фосфонитрил хлорид тример),Реактивы и хим. сырье,,,,,,,,
Цезий металлический,Реактивы и хим. сырье,4350,,,,,,,упаков
Калий фосфорнокислый пиро,Реактивы и хим. сырье,,,,,,,,
Твин-80 (Полисорбат-80),Реактивы и хим. сырье,764,,,,,,,упаков
Бутилацетат,Реактивы и хим. сырье,,,,,,,,
Крахмал водорастворимый,Реактивы и хим. сырье,,,,,,,,
Калий фталевокислый кислый,Реактивы и хим. сырье,,,,,,,,
Силасорб Silasorb 600,Реактивы и хим. сырье,40,,,,,,,упаков
Калий бромноватокислый,Реактивы и хим. сырье,365,,,,,,,упаков
Ксиленоловый оранжевый,Реактивы и хим. сырье,85,,,,,,,упаков
Кобальт сульфаминовокислый,Реактивы и хим. сырье,624,,,,,,,упаков
Никель оксид II черная,Реактивы и хим. сырье,640,,,,,,,упаков
Барий гидроокись,Реактивы и хим. сырье,,,,,,,,
Олово четыреххлористое 5-водное,Реактивы и хим. сырье,5960,,,,,,,упаков
Лакмус,Реактивы и хим. сырье,2460,,,,,,,упаков
Бентонит (глинопорошок для виноделия),Реактивы и хим. сырье,150,,,,,,,упаков
Олово сернокислое,Реактивы и хим. сырье,660,,,,,,,упаков
Никель оксид III (Ni2O3) серая,Реактивы и хим. сырье,208,,,,,,,упаков
Диоксан солянокислый,Реактивы и хим. сырье,6200,,,,,,,упаков
Коллодий,Реактивы и хим. сырье,4430,,,,,,,упаков
Стеариновая кислота,Реактивы и хим. сырье,,,,,,,,
Паста ГОИ №1,Реактивы и хим. сырье,,,,,,,,
Плавиковая (фтористоводородная) кислота,Реактивы и хим. сырье,,,,,,,,
Шеллак обезвощенный отбеленный(DBS),Реактивы и хим. сырье,,,,,,,,
Аммоний ванадиевокислый мета,Реактивы и хим. сырье,940,,,,,,,упаков
Этилендиамин,Реактивы и хим. сырье,2484,,,,,,,упаков
Бромистоводородная кислота,Реактивы и хим. сырье,,,,,,,,
Сплав Розе,Реактивы и хим. сырье,,,,,,,,
Вазелиновое масло 0,Реактивы и хим. сырье,,,,,,,,
Хлорная кислота 70 % фас 1,Реактивы и хим. сырье,,,,,,,,
Серная кислота 1,Реактивы и хим. сырье,,,,,,,,
Железо глюконат CAS 22830-45-1,Реактивы и хим. сырье,980,,,,,,,упаков
Медь хромит,Реактивы и хим. сырье,1400,,,,,,,упаков
Тетраметиламмоний гидроксид,Реактивы и хим. сырье,,,,,,,,
Калий сурьмяновиннокислый,Реактивы и хим. сырье,1620,,,,,,,упаков
Никель оксид II (NiO) черная,Реактивы и хим. сырье,4840,,,,,,,упаков
Ванадий окись V,Реактивы и хим. сырье,496,,,,,,,упаков
Нитроанилин-пара,Реактивы и хим. сырье,525,,,,,,,упаков
Магний стеариновокислый,Реактивы и хим. сырье,,,,,,,,
Кадмий уксуснокислый,Реактивы и хим. сырье,,,,,,,,
Кадмий сернокислый,Реактивы и хим. сырье,,,,,,,,
4-фторбензальдегид,Реактивы и хим. сырье,9500,,,,,,,упаков
4-фторбензальдегид,Реактивы и хим. сырье,4900,,,,,,,упаков
Изопропанол солянокислый,Реактивы и хим. сырье,,,,,,,,
Полистирол ПСВ-С сорт первый,Реактивы и хим. сырье,,,,,,,,
Натрий сернистый,Реактивы и хим. сырье,,,,,,,,
Свинец уксуснокислый,Реактивы и хим. сырье,,,,,,,,
Аурамин О,Реактивы и хим. сырье,250,,,,,,,упаков
Салициловый альдегид,Реактивы и хим. сырье,2460,,,,,,,упаков
Натрий нитропруссидный,Реактивы и хим. сырье,,,,,,,,
Краситель Basic Blue 9 (аналог метиленового голубого),Реактивы и хим. сырье,,,,,,,,
Фосфорномолибденовая кислота,Реактивы и хим. сырье,1190,,,,,,,упаков
Медь окись II гранулл. упак 0,Реактивы и хим. сырье,1065,,,,,,,упаков
Алюминий молибденовокислый,Реактивы и хим. сырье,845,,,,,,,упаков
Литий сернокислый 1 водный,Реактивы и хим. сырье,616,,,,,,,упаков
Дифениламин имп,Реактивы и хим. сырье,,,,,,,,
Реактив Гриньяра,Реактивы и хим. сырье,,,,,,,,
Бентонит (глинопорошок для виноделия),Реактивы и хим. сырье,520,,,,,,,упаков
Аммоний щавелевокислый,Реактивы и хим. сырье,,,,,,,,
Диоксан солянокислый,Реактивы и хим. сырье,3750,,,,,,,упаков
4-метилбензальдегид,Реактивы и хим. сырье,13853,,,,,,,упаков
СТ Натрий гидроокись 0,Реактивы и хим. сырье,,,,,,,,
Свинец окись II,Реактивы и хим. сырье,,,,,,,,
Фенол,Реактивы и хим. сырье,,,,,,,,
Стирол,Реактивы и хим. сырье,,,,,,,,
Бромкрезоловый пурпуровый,Реактивы и хим. сырье,880,,,,,,,упаков
Натрий фосфорновольфрамовокислый,Реактивы и хим. сырье,,,,,,,,
Титан Карбид,Реактивы и хим. сырье,2650,,,,,,,упаков
Бензиловый оранжевый,Реактивы и хим. сырье,3850,,,,,,,упаков
Ксилол-орто,Реактивы и хим. сырье,,,,,,,,
Аммоний пирролидиндитиокарбамат pa Fluka,Реактивы и хим. сырье,6350,,,,,,,упаков
Хлорная кислота,Реактивы и хим. сырье,,,,,,,,
Олово четыреххлористое БЕЗВОДНОЕ,Реактивы и хим. сырье,,,,,,,,
Свинец диэтилдитиокарбомат,Реактивы и хим. сырье,,,,,,,,
Сурьма окись (V),Реактивы и хим. сырье,480,,,,,,,упаков
2,Реактивы и хим. сырье,11976,,,,,,,упаков
Алюминий листовой А5М,Реактивы и хим. сырье,,,,,,,,
Хром карбид,Реактивы и хим. сырье,2160,,,,,,,упаков
2,Реактивы и хим. сырье,2650,,,,,,,упаков
Сплав Деварда,Реактивы и хим. сырье,180,,,,,,,упаков
Кальций гидрид,Реактивы и хим. сырье,,,,,,,,
Метил йодистый (йодметан),Реактивы и хим. сырье,6330,,,,,,,упаков
Теллур IV окись,Реактивы и хим. сырье,,,,,,,,
ПОПОП 1,Реактивы и хим. сырье,,,,,,,,
Кальций гидрид,Реактивы и хим. сырье,4637.50,,,,,,,упаков
Кремний монокристаллический,Реактивы и хим. сырье,,,,,,,,
Цезий сернокислый кислый,Реактивы и хим. сырье,4360,,,,,,,упаков
Фурфурол с хранения,Реактивы и хим. сырье,1320,,,,,,,упаков
Алюминий окись для хроматографии,Реактивы и хим. сырье,1232,,,,,,,упаков
Цезий сернокислый кислый,Реактивы и хим. сырье,980,,,,,,,упаков
Трихлоруксусная кислота,Реактивы и хим. сырье,,,,,,,,
Толуол,Реактивы и хим. сырье,,,,,,,,
Свинец сернокислый,Реактивы и хим. сырье,445,,,,,,,упаков
Медь гидроокись II,Реактивы и хим. сырье,3840,,,,,,,упаков
